City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rikitea,29,PF,1569609548,73,-23.12,-134.97,72.63,10.83
new norfolk,75,AU,1569609550,96,-42.78,147.06,39.99,3.36
huarmey,100,PE,1569609551,90,-10.07,-78.15,61.47,8.46
avarua,100,CK,1569609513,83,-21.21,-159.78,71.6,2.24
comodoro rivadavia,0,AR,1569609555,43,-45.87,-67.48,73.4,2.24
cape town,20,ZA,1569609311,88,-33.93,18.42,66.0,17.22
barra dos coqueiros,20,BR,1569609558,69,-10.91,-37.04,82.4,17.22
zyryanka,83,RU,1569609560,71,65.73,150.89,26.19,9.33
cockburn town,92,TC,1569609561,70,21.46,-71.14,84.87,6.53
port hardy,20,CA,1569609562,76,50.7,-127.42,51.8,13.87
mahebourg,75,MU,1569609564,73,-20.41,57.7,73.4,12.75
vaini,89,IN,1569609565,93,15.34,74.49,73.89,2.19
hermanus,42,ZA,1569609567,86,-34.42,19.24,66.0,3.0
ushuaia,0,AR,1569609568,37,-54.81,-68.31,55.4,4.72
albany,40,US,1569609291,40,42.65,-73.75,72.0,5.82
qaanaaq,19,GL,1569609571,58,77.48,-69.36,34.47,13.15
tiksi,53,RU,1569609483,90,71.64,128.87,30.87,17.4
port blair,86,IN,1569609305,81,11.67,92.75,81.63,8.88
cortez,1,US,1569609576,45,37.35,-108.58,71.01,4.7
kapaa,1,US,1569609578,83,22.08,-159.32,82.4,3.36
provideniya,100,RU,1569609579,99,64.42,-173.23,40.95,5.73
iwanai,0,JP,1569609547,61,42.97,140.51,51.75,4.52
shasta lake,90,US,1569609582,72,40.68,-122.36,69.01,6.93
portland,20,US,1569609464,56,43.66,-70.25,73.99,9.17
burnie,70,AU,1569609586,88,-41.05,145.91,38.79,4.43
katsuura,75,JP,1569609587,78,33.93,134.5,75.2,5.82
port augusta,0,AU,1569609589,87,-32.49,137.76,51.8,8.05
cabra,0,ES,1569609590,22,37.47,-4.43,87.8,4.7
hithadhoo,62,MV,1569609591,77,-0.6,73.08,83.25,16.08
karoi,0,ZW,1569609593,21,-16.82,29.68,64.53,4.09
bluff,0,AU,1569609594,89,-23.58,149.07,60.03,6.29
georgetown,40,GY,1569609468,94,6.8,-58.16,87.8,6.93
santiago del estero,0,AR,1569609362,17,-27.8,-64.26,89.01,18.25
galle,56,GN,1569609600,92,10.08,-12.83,76.77,4.29
kaitangata,68,NZ,1569609602,49,-46.28,169.85,54.0,13.0
abu dhabi,0,AE,1569609393,70,24.47,54.37,91.4,8.05
busselton,0,AU,1569609605,72,-33.64,115.35,51.01,11.48
san jose iturbide,75,MX,1569609607,49,21.0,-100.38,79.0,8.05
mar del plata,100,AR,1569609608,20,-46.43,-67.52,70.11,18.3
hobart,75,AU,1569609477,96,-42.88,147.33,39.99,3.36
saskylakh,95,RU,1569609611,94,71.97,114.09,29.07,6.93
sao joao da barra,75,BR,1569609612,69,-21.64,-41.05,77.0,9.17
mataura,80,NZ,1569609614,76,-46.19,168.86,52.0,8.01
te anau,100,NZ,1569609615,86,-45.41,167.72,46.17,14.18
tera,40,CY,1569609616,65,34.97,32.42,78.8,5.82
saint-philippe,1,CA,1569609618,55,45.36,-73.48,69.01,12.75
ewo,88,CG,1569609619,79,-0.88,14.81,76.59,9.66
zhigansk,98,RU,1569609622,76,66.77,123.37,32.49,4.03
castro,75,CL,1569609623,76,-42.48,-73.76,55.4,19.46
punta arenas,0,CL,1569609625,41,-53.16,-70.91,59.0,20.8
port-gentil,90,GA,1569609626,100,-0.72,8.78,75.2,12.75
port elizabeth,1,US,1569609628,41,39.31,-74.98,82.0,5.82
victoria,75,BN,1569609629,88,5.28,115.24,80.6,5.35
severo-kurilsk,88,RU,1569609630,79,50.68,156.12,46.53,24.23
teya,75,MX,1569609632,66,21.05,-89.07,93.0,8.05
barrow,100,AR,1569609633,37,-38.31,-60.23,69.03,16.22
mogadishu,15,SO,1569609635,78,2.04,45.34,77.31,9.17
geraldton,90,CA,1569609636,93,49.72,-86.95,42.8,8.05
zabaykalsk,58,CN,1569609638,71,49.64,117.33,50.31,18.01
port alfred,35,ZA,1569609639,58,-33.59,26.89,64.0,1.01
fortuna,75,US,1569609640,82,40.6,-124.16,62.01,3.36
atuona,19,PF,1569609642,71,-9.8,-139.03,79.83,15.88
lata,89,IN,1569609643,94,30.78,78.62,37.89,0.87
eidsvag,0,NO,1569609645,58,62.78,8.07,57.2,17.22
wajima,100,JP,1569609646,85,37.4,136.9,71.37,12.37
bathsheba,75,BB,1569609648,88,13.22,-59.52,80.6,10.29
komsomolskiy,75,RU,1569609649,80,67.55,63.78,31.05,4.47
chuy,100,UY,1569609650,69,-33.69,-53.46,58.59,10.02
guerrero negro,96,MX,1569609652,81,27.97,-114.04,69.21,12.66
berlevag,75,NO,1569609653,87,70.86,29.09,44.6,9.17
hasaki,40,JP,1569609655,100,35.73,140.83,63.0,1.12
east london,0,ZA,1569609656,30,-33.02,27.91,69.8,4.7
grindavik,0,IS,1569609657,87,63.84,-22.43,55.4,17.22
iqaluit,90,CA,1569609659,100,63.75,-68.52,39.2,9.17
kangaatsiaq,0,GL,1569609662,77,68.31,-53.46,43.29,5.99
lavrentiya,100,RU,1569609663,98,65.58,-170.99,40.59,11.63
itoman,20,JP,1569609664,94,26.12,127.67,80.6,4.7
esperance,0,AU,1569609666,100,-33.86,121.89,51.8,4.7
naze,75,NG,1569609667,94,5.43,7.07,75.2,4.7
nouadhibou,0,MR,1569609669,73,20.93,-17.03,73.4,18.34
hilo,20,US,1569609670,70,19.71,-155.08,84.2,4.7
saldanha,25,PT,1569609673,52,41.42,-6.55,70.47,9.48
inhambane,40,MZ,1569609674,64,-23.87,35.38,68.0,14.99
putina,20,PE,1569609677,17,-14.91,-69.87,64.4,11.41
sisimiut,0,GL,1569609679,56,66.94,-53.67,45.81,9.95
alice springs,2,AU,1569609680,67,-23.7,133.88,60.8,11.27
saligao,75,IN,1569609681,88,15.55,73.77,78.8,5.82
nanlong,17,CN,1569609683,70,31.35,106.05,68.49,1.88
constitucion,75,MX,1569609684,43,23.99,-104.67,75.0,6.93
matara,68,BI,1569609686,82,-3.48,29.48,53.73,1.39
cabedelo,40,BR,1569609687,69,-6.97,-34.84,82.4,11.41
cidreira,69,BR,1569609688,59,-30.17,-50.22,65.97,11.36
beisfjord,0,NO,1569609690,87,68.38,17.6,53.01,9.17
maniitsoq,0,GL,1569609691,72,65.42,-52.9,43.11,12.26
arraial do cabo,20,BR,1569609694,65,-22.97,-42.02,78.8,2.24
mount isa,0,AU,1569609695,26,-20.73,139.49,71.6,9.17
cayenne,75,GF,1569609697,62,4.94,-52.33,89.6,13.87
lukoyanov,100,RU,1569609698,82,55.03,44.48,43.29,4.47
mtwara,61,TZ,1569609700,85,-10.28,40.18,67.05,4.43
okhotsk,43,RU,1569609701,64,59.36,143.24,36.45,11.32
punta de piedra,41,VE,1569609703,69,7.62,-71.49,85.59,5.3
sola,95,TZ,1569609704,41,-3.17,33.8,78.57,0.29
sioux lookout,75,CA,1569609705,57,50.1,-91.92,48.2,9.17
tepalcingo,75,MX,1569609707,57,18.6,-98.85,82.99,6.93
margate,75,AU,1569609708,96,-43.03,147.26,39.99,3.36
inverell,48,AU,1569609710,70,-29.78,151.11,50.0,1.01
hovd,0,NO,1569609711,62,63.83,10.7,55.99,11.41
harper,40,US,1569609712,49,30.3,-99.24,91.99,9.17
namatanai,80,PG,1569609714,81,-3.66,152.44,78.03,6.02
roma,0,IT,1569609685,73,41.89,12.48,73.4,2.24
sarila,100,IN,1569609717,87,25.77,79.68,78.75,6.44
kopidlno,90,CZ,1569609718,87,50.33,15.27,60.8,18.34
carnarvon,0,ZA,1569609721,9,-30.97,22.13,64.53,8.99
jaisalmer,32,IN,1569609722,61,26.91,70.91,85.41,18.12
pochutla,90,MX,1569609724,74,15.74,-96.47,88.0,13.87
brae,52,GB,1569609725,93,60.4,-1.35,53.6,11.41
luderitz,98,NA,1569609726,29,-26.65,15.16,77.0,3.36
faanui,74,PF,1569609729,83,-16.48,-151.75,78.57,11.14
broome,0,GB,1569609731,87,52.47,1.45,57.99,12.75
sitka,0,US,1569609732,57,37.17,-99.65,84.99,8.43
innisfail,96,AU,1569609733,94,-17.52,146.03,65.79,3.83
sulangan,71,PH,1569609735,73,11.14,123.72,82.53,3.91
pasighat,72,IN,1569609739,94,28.06,95.33,65.25,3.31
moose factory,90,CA,1569609481,93,51.26,-80.61,53.6,12.75
hay river,75,CA,1569609709,74,60.82,-115.79,37.4,17.22
isangel,100,VU,1569609743,78,-19.55,169.27,72.45,15.05
salalah,40,OM,1569609744,78,17.01,54.1,82.4,10.29
chokurdakh,42,RU,1569609746,90,70.62,147.9,23.13,4.88
jamestown,0,AU,1569609452,79,-33.21,138.6,40.41,7.83
bereda,20,ES,1569609749,77,43.27,-7.54,64.99,6.93
hofn,0,IS,1569609750,57,64.25,-15.21,51.8,19.46
ambilobe,96,MG,1569609751,77,-13.19,49.05,75.87,4.03
oussouye,20,SN,1569609753,79,12.49,-16.54,89.6,4.7
yellowknife,75,CA,1569609754,59,62.45,-114.38,37.4,12.75
okahandja,92,NA,1569609756,7,-21.98,16.91,69.8,3.36
vardo,1,US,1569609757,44,39.62,-77.74,81.0,13.87
roald,0,NO,1569609758,58,62.58,6.12,59.0,8.05
ipilan,54,PH,1569609760,80,8.84,117.9,81.45,5.57
omsukchan,70,RU,1569609761,84,62.53,155.8,21.15,3.89
soe,0,EE,1569609764,81,57.91,26.05,46.0,3.78
bethel,90,US,1569609614,70,60.79,-161.76,48.2,17.22
henties bay,87,NA,1569609767,89,-22.12,14.28,61.0,7.0
tromso,6,NO,1569609768,100,69.65,18.96,39.2,2.24
khatanga,97,RU,1569609770,92,71.98,102.47,30.33,5.68
bredasdorp,24,ZA,1569609771,82,-34.53,20.04,64.99,6.93
butaritari,50,KI,1569609773,66,3.07,172.79,84.15,8.66
avera,1,US,1569609774,35,33.19,-82.53,98.6,9.17
carballo,20,ES,1569609775,77,43.21,-8.69,66.0,6.93
porosozero,88,RU,1569609777,87,62.72,32.71,41.49,2.35
zalesovo,100,RU,1569609778,91,54.0,84.74,45.81,6.96
thompson,75,CA,1569609780,51,55.74,-97.86,37.4,18.34
upernavik,77,GL,1569609781,55,72.79,-56.15,41.85,6.89
san pedro,50,AR,1569609782,38,-33.68,-59.66,73.99,4.0
kyzyl-suu,0,KG,1569609784,58,42.34,78.0,65.79,5.95
sibu,75,MY,1569609785,100,2.29,111.83,75.2,3.36
malanje,96,AO,1569609787,63,-9.54,16.35,72.27,2.06
los llanos de aridane,20,ES,1569609788,69,28.66,-17.92,75.2,13.87
russell,75,US,1569609789,65,38.9,-98.86,86.0,9.17
kavaratti,98,IN,1569609791,72,10.57,72.64,81.81,4.05
humaita,0,AR,1569609792,22,-24.93,-65.37,84.2,12.75
lebu,75,ET,1569609794,72,8.96,38.73,62.6,9.17
puerto ayora,40,EC,1569609795,64,-0.74,-90.35,75.2,5.82
rondonopolis,34,BR,1569609797,38,-16.46,-54.64,94.05,2.71
cabo san lucas,5,MX,1569609726,48,22.89,-109.91,88.0,20.8
vanimo,39,PG,1569609802,74,-2.67,141.3,81.45,4.56
tazovskiy,100,RU,1569609806,95,67.47,78.7,35.01,8.66
nikolskoye,90,RU,1569609809,87,59.7,30.79,48.99,4.47
padang,35,ID,1569609810,86,-0.92,100.36,78.75,14.58
