,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,amqui,40,CA,1554255056,51,48.47,-67.43,39.99,4.7
1,hokitika,0,NZ,1554255343,92,-42.72,170.96,59.96,4.7
2,tiksi,48,RU,1554255344,81,71.64,128.87,17.57,3.91
3,dalhousie,0,IN,1554255345,39,32.54,75.98,56.18,2.24
4,calama,0,CL,1554253200,41,-22.46,-68.93,59.0,8.05
5,hermanus,12,ZA,1554255050,86,-34.42,19.24,61.0,5.99
6,provideniya,40,RU,1554253200,74,64.42,-173.23,30.2,15.66
7,lebu,75,ET,1554249600,72,8.96,38.73,60.8,3.36
8,saskylakh,80,RU,1554255163,99,71.97,114.09,28.37,4.59
9,rabo de peixe,40,PT,1554255324,76,37.8,-25.58,55.4,14.99
10,cape town,0,ZA,1554254892,67,-33.93,18.42,64.0,8.05
11,bilma,0,NE,1554255356,35,18.69,12.92,65.36,3.91
12,mahebourg,20,MU,1554253200,83,-20.41,57.7,77.0,6.15
13,hithadhoo,76,MV,1554255161,100,-0.6,73.08,84.35,9.17
14,cabo san lucas,20,MX,1554255134,38,22.89,-109.91,82.4,11.41
15,kurumkan,88,RU,1554255362,86,54.33,110.32,21.98,2.13
16,coquimbo,0,CL,1554253200,93,-29.95,-71.34,57.2,2.24
17,upernavik,92,GL,1554255294,100,72.79,-56.15,14.51,16.11
18,kodiak,20,US,1554255124,70,39.95,-94.76,51.01,4.7
19,albany,90,US,1554255131,31,42.65,-73.75,46.4,10.29
20,barrow,0,AR,1554254862,65,-38.31,-60.23,62.13,10.98
21,hobart,75,AU,1554255108,62,-42.88,147.33,59.0,19.46
22,puerto ayora,40,EC,1554255080,78,-0.74,-90.35,82.4,8.05
23,east london,88,ZA,1554255373,100,-33.02,27.91,68.78,21.92
24,dakoro,0,NE,1554255374,38,14.51,6.76,70.76,5.59
25,nelson bay,40,AU,1554255074,60,-32.72,152.14,81.0,2.24
26,lagoa,0,PT,1554255128,76,37.14,-8.45,57.2,2.24
27,conceicao do castelo,20,BR,1554255298,100,-20.37,-41.24,59.15,2.57
28,talnakh,92,RU,1554255379,96,69.49,88.39,25.04,2.91
29,jalu,0,LY,1554255381,54,29.03,21.55,57.8,7.72
30,georgetown,20,GY,1554253200,74,6.8,-58.16,80.6,6.93
31,bajitpur,40,BD,1554253200,88,24.22,90.95,69.8,5.03
32,khorinsk,36,RU,1554255384,40,52.16,109.78,40.16,3.36
33,bredasdorp,12,ZA,1554255050,77,-34.53,20.04,64.4,8.05
34,ushuaia,75,AR,1554253200,87,-54.81,-68.31,42.8,26.4
35,flin flon,32,CA,1554255388,54,54.77,-101.88,18.56,8.61
36,asekeyevo,88,RU,1554255389,93,53.57,52.8,33.95,17.45
37,uryupinsk,92,RU,1554255238,88,50.8,42.01,34.0,8.99
38,nuuk,0,GL,1554252600,95,64.17,-51.74,32.0,48.32
39,talcahuano,0,CL,1554253200,77,-36.72,-73.12,62.6,8.05
40,grand-santi,76,GF,1554255394,75,4.27,-54.38,78.5,4.59
41,saint-philippe,90,CA,1554255332,48,45.36,-73.48,43.0,9.17
42,mataura,0,NZ,1554255007,58,-46.19,168.86,63.0,1.99
43,aklavik,20,CA,1554253200,64,68.22,-135.01,1.4,12.75
44,atuona,0,PF,1554254849,100,-9.8,-139.03,81.93,12.55
45,alamosa,90,US,1554254906,25,37.47,-105.87,50.0,11.41
46,busselton,0,AU,1554255344,42,-33.64,115.35,71.01,16.89
47,ugoofaaru,0,MV,1554255405,100,5.67,73.0,83.81,4.59
48,ajaccio,90,FR,1554253200,87,41.93,8.74,51.8,4.7
49,aasiaat,92,GL,1554255407,84,68.71,-52.87,34.85,17.22
50,rikitea,0,PF,1554255409,100,-23.12,-134.97,75.98,16.67
51,yaan,0,NG,1554255410,70,7.38,8.57,81.65,13.42
52,souillac,92,FR,1554255380,87,45.6,-0.6,46.99,10.29
53,fortuna,20,ES,1554255090,87,38.18,-1.13,55.99,6.93
54,castro,12,CL,1554253200,93,-42.48,-73.76,48.2,3.47
55,kahului,40,US,1554255279,54,20.89,-156.47,82.99,19.46
56,vaini,0,IN,1554253200,82,15.34,74.49,66.2,1.68
57,kruisfontein,80,ZA,1554255418,78,-34.0,24.73,61.13,11.74
58,grand baie,20,MU,1554253200,83,-20.02,57.58,77.0,7.72
59,kaeo,92,NZ,1554255184,63,-35.1,173.78,70.0,5.99
60,darmanesti,0,RO,1554253728,67,46.37,26.48,33.01,2.01
61,guarapari,75,BR,1554254353,83,-20.67,-40.5,73.4,3.36
62,hilo,90,US,1554255132,94,19.71,-155.08,75.0,12.75
63,belaya gora,0,RU,1554255426,100,68.54,146.19,19.82,4.14
64,butaritari,92,KI,1554255152,100,3.07,172.79,76.97,8.84
65,tutoia,92,BR,1554255429,95,-2.76,-42.27,77.78,4.14
